Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 15:43:44,2018-05-21 15:43:53,"9,458s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 15:43:44,2018-05-21 15:43:53,"8,681s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 15:43:45,2018-05-21 15:43:50,"5,314s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:43:50,2018-05-21 15:43:51,"1,351s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:43:51,2018-05-21 15:43:51,"0,093s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:43:51,2018-05-21 15:43:52,"0,104s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:43:52,2018-05-21 15:43:52,"0,086s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:43:52,2018-05-21 15:43:52,"0,099s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 15:43:52,2018-05-21 15:43:52,"0,661s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 15:43:52,2018-05-21 15:43:53,"0,577s",PASSED
